syn_head_id	syn_rel_id	syn_tail_id
21818	3	62266
21821	3	71696
21925	3	28331
21947	3	21956
21947	3	21958
22103	3	28456
22729	3	22730
22817	3	28294
22817	3	28360
22879	3	22886
23305	3	23306
23652	3	23659
25030	3	25029
25659	3	65719
25819	3	25947
26648	3	28299
26648	3	28330
26652	3	28373
26652	3	28381
26658	3	28293
26658	3	28296
26658	3	28297
26658	3	28300
26658	3	28394
26658	3	28301
26658	3	28302
26658	3	28304
26658	3	28305
26658	3	28306
26658	3	28307
26658	3	28308
26658	3	28309
26658	3	28310
26658	3	28311
26658	3	28312
26658	3	28313
26658	3	28314
26658	3	28315
26658	3	28316
26658	3	28317
26658	3	28318
26658	3	28319
26658	3	28320
26658	3	28321
26658	3	28324
26658	3	28325
26658	3	28326
26658	3	28327
26658	3	28332
26658	3	28334
26658	3	28335
26658	3	28336
26658	3	28337
26658	3	28338
26658	3	28339
26658	3	28340
26658	3	28342
26658	3	28343
26658	3	28346
26658	3	28347
26658	3	28348
26658	3	28350
26658	3	28352
26658	3	28354
26658	3	28355
26658	3	28357
26658	3	28358
26658	3	28362
26658	3	28363
26658	3	28365
26658	3	28366
26658	3	28368
26658	3	28369
26658	3	28370
26658	3	28371
26658	3	28372
26658	3	28375
26658	3	28376
26658	3	28377
26658	3	28380
26658	3	28383
26658	3	28386
26658	3	28387
26658	3	28389
26658	3	28390
26658	3	28392
26658	3	28393
26658	3	28395
26658	3	28396
26658	3	28397
26658	3	28398
26658	3	28399
26658	3	28403
26658	3	28404
26658	3	28405
26658	3	28406
26658	3	28407
26658	3	28409
26658	3	28408
26658	3	28411
26658	3	28414
26658	3	28416
26658	3	28417
26658	3	28418
26658	3	28419
26658	3	28421
26658	3	28423
26658	3	28424
26658	3	28426
26658	3	28428
26658	3	28430
26658	3	28434
26658	3	28433
26658	3	28432
26658	3	28435
26659	3	28290
26659	3	28291
26659	3	28292
26659	3	28410
26659	3	28303
26659	3	28323
26659	3	28341
26659	3	28351
26659	3	28356
26659	3	28367
26659	3	28374
26659	3	28378
26659	3	28384
26659	3	28388
26659	3	28402
26659	3	28420
26659	3	28422
26677	3	28345
26677	3	26685
26678	3	28436
26678	3	28445
26678	3	28466
26679	3	28437
26679	3	28442
26679	3	28444
26679	3	28446
26679	3	28449
26679	3	28453
26679	3	28461
26706	3	28328
26706	3	28379
26706	3	28385
26706	3	28429
26708	3	26713
26708	3	26709
26708	3	26712
26708	3	26710
26708	3	26715
26708	3	26714
26708	3	26711
26729	3	28439
26729	3	28438
26729	3	28440
26729	3	28441
26729	3	28322
26729	3	28443
26729	3	28447
26729	3	28448
26729	3	28450
26729	3	28451
26729	3	28452
26729	3	28364
26729	3	28454
26729	3	28455
26729	3	28457
26729	3	28458
26729	3	28459
26729	3	28463
26729	3	28464
26729	3	28465
26729	3	28467
26729	3	28468
26729	3	28469
26729	3	28475
26729	3	28470
26729	3	28471
26729	3	28472
26729	3	28474
26729	3	28473
26769	3	28331
26770	3	28427
26770	3	28333
26770	3	28344
26770	3	28349
26770	3	28353
26770	3	28359
26770	3	28400
26770	3	28401
26770	3	28415
26853	3	28476
26853	3	28477
27280	3	28294
27280	3	28295
27280	3	28298
27280	3	28329
27280	3	28361
27280	3	28382
27280	3	28385
27280	3	28391
27280	3	28413
27280	3	28412
27280	3	28425
27280	3	28431
27302	3	28460
27433	3	27457
27634	3	28462
27805	3	27808
27863	3	27864
28150	3	28152
28160	3	103891
34345	3	34356
34345	3	34352
34345	3	34353
34345	3	34351
34345	3	34347
34345	3	34348
34345	3	34355
34345	3	34354
34345	3	34346
34345	3	34349
34345	3	34350
34770	3	34772
34770	3	34775
34770	3	34771
34770	3	34773
34770	3	34776
34770	3	34774
34908	3	34909
36135	3	70812
36139	3	47564
36211	3	38416
36349	3	42249
36529	3	70790
36529	3	70791
36779	3	41683
36841	3	46650
36902	3	41879
37170	3	36544
37453	3	69624
37453	3	41317
37502	3	41090
37651	3	41834
37659	3	37611
37659	3	37620
37659	3	70673
37659	3	70782
37659	3	69395
37659	3	68996
37659	3	70783
37698	3	36806
37698	3	38440
37698	3	40655
37698	3	42491
37698	3	44072
37698	3	44076
37698	3	46245
37857	3	69710
37877	3	38030
37892	3	38102
37985	3	40621
38011	3	45206
38061	3	36376
38061	3	43174
38257	3	36980
38398	3	38940
38480	3	36498
38480	3	36922
38480	3	37432
38480	3	38910
38923	3	36458
38923	3	40542
38923	3	41130
38948	3	42744
39049	3	46984
39187	3	36921
39187	3	38149
39187	3	43530
39914	3	46806
40223	3	46857
40228	3	42148
40228	3	45155
40229	3	36162
40229	3	36776
40229	3	70113
40229	3	46649
40410	3	40871
40425	3	70653
40470	3	69270
